credit_amt,number_of_credit,new_sam_1,new_sam_0,information_gain
300000,1,29065,22996,0.000662798
0,0,52060,1,1.42E-07
400000,1,28470,23591,0.000662684
405000,6,23004,29057,0.00047009
515000,4,26811,25250,0.000732529
1360000,1,14375,37686,0.000453506
300000,1,29065,22996,0.000662798
0,0,52060,1,1.42E-07
49000,1,31644,20417,0.000796503
437000,1,28169,23892,0.000674599
0,0,52060,1,1.42E-07
29900,1,32122,19939,0.000836997
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
210000,1,29571,22490,0.000725942
316000,2,28348,23713,0.000721556
145755,2,29272,22789,0.000688246
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
365000,1,28628,23433,0.000681945
122600,1,30495,21566,0.000770371
236717,6,23238,28823,0.000493706
184982,1,29864,22197,0.00071346
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
284000,3,28021,24040,0.000730982
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
300000,1,29065,22996,0.000662798
275000,4,27514,24547,0.000823448
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
196000,1,29787,22274,0.000703698
43000,1,31730,20331,0.000808392
128000,3,28660,23401,0.000761445
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
177500,2,29036,23025,0.000683414
0,0,52060,1,1.42E-07
22000,1,32258,19803,0.000856461
497600,10,15147,36914,0.000152279
275900,6,23191,28870,0.000488918
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
226000,1,29479,22582,0.000714225
723687,2,26423,25638,0.000735718
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
439000,2,27797,24264,0.000653941
0,0,52060,1,1.42E-07
81980,1,31047,21014,0.000845938
470,1,33319,18742,0.000822427
0,0,52060,1,1.42E-07
400000,1,28470,23591,0.000662684
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
769000,16,8678,43383,6.39E-05
0,0,52060,1,1.42E-07
200000,1,29742,22319,0.000722787
300000,1,29065,22996,0.000662798
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
121000,1,30504,21557,0.000771571
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
373821,1,28593,23468,0.000677653
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
550000,6,22723,29338,0.000463361
100000,2,29627,22434,0.000733127
322950,3,27873,24188,0.000790037
0,0,52060,1,1.42E-07
145627,5,26692,25369,0.000717695
400000,1,28470,23591,0.000662684
264000,1,29221,22840,0.000681927
530000,1,27624,24437,0.000757752
0,0,52060,1,1.42E-07
